datetime,price,tickersymbol,futurecontractcode
2024-01-02 09:26:37.606710,1140.20,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:26:37.606710,1140.20,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:26:37.606710,1140.20,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:26:51.048416,1140.10,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:26:51.048416,1140.10,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:26:51.048416,1140.10,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:26:55.119269,1140.00,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:26:55.119269,1140.00,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:26:55.119269,1140.00,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:27:11.507568,1140.10,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:27:11.507568,1140.10,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:27:11.507568,1140.10,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:27:15.775570,1140.00,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:27:15.775570,1140.00,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:27:15.775570,1140.00,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:27:18.619916,1139.90,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:27:18.619916,1139.90,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:27:18.619916,1139.90,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:27:24.395164,1140.00,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:27:24.395164,1140.00,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:27:24.395164,1140.00,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:27:31.206565,1140.10,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:27:31.206565,1140.10,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:27:31.206565,1140.10,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:27:41.389654,1140.00,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:27:41.389654,1140.00,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:27:41.389654,1140.00,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:27:47.691066,1139.90,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:27:47.691066,1139.90,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:27:47.691066,1139.90,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:27:53.818510,1139.80,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:27:53.818510,1139.80,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:27:53.818510,1139.80,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:28:01.470895,1140.10,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:28:01.470895,1140.10,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:28:01.470895,1140.10,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:28:03.585074,1140.00,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:28:03.585074,1140.00,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:28:03.585074,1140.00,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:28:07.671592,1139.80,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:28:07.671592,1139.80,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:28:07.671592,1139.80,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:28:09.901765,1140.00,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:28:09.901765,1140.00,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:28:09.901765,1140.00,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:28:14.792443,1139.90,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:28:14.792443,1139.90,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
