number,value,datetime_start,datetime_complete,duration,params_order_size,params_spread,params_wait_time,state
82,2018.4000000000142,2025-04-21 21:21:06.082586,2025-04-21 21:21:09.699249,0 days 00:00:03.616663,6,0.00011,258,COMPLETE
83,1855.1999999999862,2025-04-21 21:21:09.700819,2025-04-21 21:21:13.314911,0 days 00:00:03.614092,8,0.0001,427,COMPLETE
84,3465.0000000000296,2025-04-21 21:21:13.316122,2025-04-21 21:21:16.981190,0 days 00:00:03.665068,7,9e-05,67,COMPLETE
85,174.9999999999984,2025-04-21 21:21:16.982325,2025-04-21 21:21:20.505130,0 days 00:00:03.522805,7,9e-05,5680,COMPLETE
86,2941.8000000000447,2025-04-21 21:21:20.506313,2025-04-21 21:21:24.184253,0 days 00:00:03.677940,6,0.00012,63,COMPLETE
87,728.0000000000016,2025-04-21 21:21:24.185682,2025-04-21 21:21:27.696371,0 days 00:00:03.510689,7,8e-05,890,COMPLETE
88,1258.7999999999956,2025-04-21 21:21:27.697630,2025-04-21 21:21:31.239745,0 days 00:00:03.542115,6,2e-05,624,COMPLETE
89,1463.0000000000064,2025-04-21 21:21:31.240968,2025-04-21 21:21:34.819967,0 days 00:00:03.578999,5,0.0001,392,COMPLETE
90,603.3999999999908,2025-04-21 21:21:34.822087,2025-04-21 21:21:38.376166,0 days 00:00:03.554079,7,3.0000000000000004e-05,3151,COMPLETE
91,2726.400000000014,2025-04-21 21:21:38.377336,2025-04-21 21:21:41.904496,0 days 00:00:03.527160,8,9e-05,230,COMPLETE
92,2598.40000000001,2025-04-21 21:21:41.905650,2025-04-21 21:21:45.451972,0 days 00:00:03.546322,7,8e-05,239,COMPLETE
93,1952.0999999999947,2025-04-21 21:21:45.452965,2025-04-21 21:21:48.971392,0 days 00:00:03.518427,9,0.00011,449,COMPLETE
94,4640.000000000037,2025-04-21 21:21:48.972446,2025-04-21 21:21:52.615619,0 days 00:00:03.643173,10,9e-05,68,COMPLETE
95,1270.9999999999923,2025-04-21 21:21:52.616762,2025-04-21 21:21:56.148183,0 days 00:00:03.531421,10,0.0001,745,COMPLETE
96,3696.0000000000173,2025-04-21 21:21:56.149336,2025-04-21 21:21:59.962981,0 days 00:00:03.813645,10,9e-05,201,COMPLETE
97,3556.999999999996,2025-04-21 21:21:59.964924,2025-04-21 21:22:03.511546,0 days 00:00:03.546622,10,7.000000000000001e-05,235,COMPLETE
98,485.9999999999832,2025-04-21 21:22:03.512697,2025-04-21 21:22:07.088299,0 days 00:00:03.575602,10,7.000000000000001e-05,4342,COMPLETE
99,3536.999999999987,2025-04-21 21:22:07.089331,2025-04-21 21:22:10.064801,0 days 00:00:02.975470,10,5e-05,218,COMPLETE
